Description,Label
"La pression de l'eau n'est pas suffisante",1
"l'électricité est toujours coupé",1
"il n'y a plus de courant",1
"La propreté des rues laisse à désirer",2
"Les routes sont pleines de trous",3
"Le prix des marchandises sont trop élevés",4
"Le robinet fuit sans arrêt",1
"L'eau a une mauvaise odeur",1
"Les lampadaires ne fonctionnent plus",1
"Les déchets s'accumulent dans les rues",2
"Il y a des rats dans les quartiers",2
"Les trottoirs sont impraticables",3
"Les routes sont inondées après la pluie",3
"Les produits alimentaires sont trop chers",4
"Les impôts locaux sont trop élevés",4
"Les frais de transport augmentent sans cesse",4
