Description,Label
"Il n'y a pas assez de médecins dans le centre de santé local.",1
"Les enfants n'ont pas accès à un nombre suffisant de manuels scolaires.",2
"Les vols dans notre quartier sont devenus fréquents.",3
"Le pont reliant les deux quartiers est endommagé depuis des mois.",4
"Le service d'état civil est toujours en retard dans le traitement des dossiers.",5
"La déforestation dans la région augmente à un rythme alarmant.",6
"Le chômage des jeunes est un problème majeur dans notre commune.",7
"Les loyers dans notre quartier sont devenus inabordables.",8
"Il y a un retard important dans le traitement des affaires judiciaires.",9
"Les fonctionnaires de la mairie exigent des pots-de-vin pour délivrer les permis.",10
"Les infrastructures hospitalières sont insuffisantes pour répondre aux besoins de la population.",1
"Les écoles publiques manquent cruellement de professeurs qualifiés.",2
"Il y a de plus en plus de cambriolages dans le quartier.",3
"Les routes principales sont pleines de nids-de-poule.",4
"L'eau potable n'est pas disponible régulièrement dans notre quartier.",5
"La pollution dans les rivières à proximité met en danger la biodiversité.",6
"Les petites entreprises locales ferment en raison de la crise économique.",7
"Il est difficile de trouver un logement à loyer modéré dans la ville.",8
"Les prisonniers ne sont pas traités conformément aux droits de l'homme.",9
"Les élus locaux sont accusés de mauvaise gestion des fonds publics.",10
"Les soins d'urgence ne sont pas accessibles à temps pour les habitants.",1
"Les élèves doivent marcher plusieurs kilomètres pour rejoindre l'école.",2
"Les violences urbaines sont de plus en plus fréquentes.",3
"Les travaux de construction de la nouvelle route sont interrompus sans explication.",4
"Les files d'attente pour obtenir un acte de naissance sont interminables.",5
"Les déchets sont rarement collectés dans le quartier.",6
"Les emplois dans le secteur industriel sont en baisse dans notre région.",7
"Les immeubles sont insalubres et non conformes aux normes.",8
"Les procédures judiciaires traînent sans justification valable.",9
"Les fonctionnaires locaux sont impliqués dans des affaires de corruption.",10
"Le centre de santé manque de médicaments essentiels.",1
"Les patients attendent plusieurs heures avant d'être pris en charge à l'hôpital.",1
"Les écoles ne sont pas bien équipées en matériel pédagogique.",2
"Les frais de scolarité dans les établissements publics sont trop élevés.",2
"La criminalité augmente de manière inquiétante dans notre quartier.",3
"Il n'y a pas assez de patrouilles de police dans les zones rurales.",3
"Les routes sont en mauvais état et provoquent des accidents.",4
"Les éclairages publics sont défaillants dans plusieurs quartiers.",4
"Les coupures d'électricité sont fréquentes et sans préavis.",5
"Le réseau d'assainissement est vieux et nécessite des rénovations.",5
"Les décharges illégales de déchets sont courantes dans la ville.",6
"La pollution de l'air est devenue insupportable à cause des usines.",6
"Les salaires sont bas et les conditions de travail dans les usines sont déplorables.",7
"Les opportunités d'emploi sont rares dans les zones rurales.",7
"Les loyers augmentent rapidement forçant les familles à quitter le quartier.",8
"Les immeubles anciens sont dangereux à cause de l'absence d'entretien.",8
"Les tribunaux sont saturés ce qui cause des retards dans les jugements.",9
"Les victimes de violence n'ont pas accès à une assistance juridique adéquate.",9
"Les élus locaux sont accusés de détournement de fonds.",10
"Il y a un manque de transparence dans la gestion des projets publics.",10
"Les centres de santé de proximité sont sous-équipés pour les urgences.",1
"Les services d'urgence ne peuvent pas couvrir toutes les zones rurales.",1
"Les élèves sont trop nombreux dans chaque classe rendant l'enseignement difficile.",2
"Les infrastructures scolaires sont en ruine dans plusieurs villages.",2
"Les habitants se sentent en insécurité à cause des agressions nocturnes.",3
"La police ne réagit pas assez rapidement aux appels d'urgence.",3
"Les chantiers publics restent inachevés bloquant la circulation.",4
"Il manque des trottoirs sécurisés pour les piétons dans plusieurs quartiers.",4
"Les lignes téléphoniques sont souvent coupées interrompant les communications.",5
"Les retards dans la délivrance des documents administratifs sont fréquents.",5
"Les rivières sont polluées par les industries locales sans contrôle.",6
"Les forêts disparaissent rapidement à cause de l'exploitation illégale.",6
"Les jeunes qualifiés quittent la ville faute d'emplois disponibles.",7
"Les conditions de travail dans les usines textiles sont déplorables.",7
"Le marché du logement est inaccessible aux familles à faibles revenus.",8
"Les bidonvilles se développent à cause du manque de logements abordables.",8
"Les procès civils prennent des années avant d'être jugés.",9
"Les droits des détenus sont fréquemment bafoués dans les prisons locales.",9
"Les citoyens dénoncent la corruption dans les appels d'offres publics.",10
"Les responsables gouvernementaux sont impliqués dans des scandales financiers.",10
"Les consultations médicales dans les hôpitaux publics sont extrêmement lentes.",1
"Il y a une pénurie de vaccins dans les centres de santé locaux.",1
"Les salles de classe sont surchargées et manquent de ventilateurs.",2
"Les enseignants ne reçoivent pas leurs salaires à temps ce qui perturbe les cours.",2
"Les vols à la tire sont devenus monnaie courante dans le quartier.",3
"Les agents de sécurité dans les écoles ne sont pas assez nombreux.",3
"Les trottoirs sont abîmés rendant les déplacements dangereux pour les piétons.",4
"Les ponts piétonniers ne sont plus entretenus et deviennent dangereux.",4
"Les bornes fontaines sont souvent hors service créant des pénuries d'eau.",5
"Les délais pour l'obtention de passeports sont de plus en plus longs.",5
"Les décharges publiques sont pleines et l'enlèvement des déchets est irrégulier.",6
"Les abattages illégaux d'arbres ne sont pas contrôlés par les autorités.",6
"Les petites entreprises souffrent de la concurrence déloyale des grands groupes.",7
"Les offres d'emploi diminuent et beaucoup de gens sont au chômage depuis des mois.",7
"Les quartiers populaires sont de plus en plus confrontés à des expulsions forcées.",8
"Les conditions de vie dans les logements sociaux sont déplorables.",8
"Les victimes d'injustice attendent des années avant d'avoir un jugement équitable.",9
"Les procédures d'adoption sont très lentes causant des problèmes aux familles.",9
"Les fonds publics destinés aux écoles sont mal utilisés par les responsables locaux.",10
"Les citoyens dénoncent les détournements de fonds dans les projets d'infrastructure.",10
"Les hôpitaux manquent de personnel qualifié provoquant des retards dans les soins.",1
"Les équipements médicaux sont souvent défectueux ou obsolètes dans les centres publics.",1
"Les écoles rurales n'ont pas accès à internet freinant l'apprentissage des enfants.",2
"Les enseignants suppléants ne sont pas assez nombreux pour compenser les absences.",2
"Les gangs locaux prennent le contrôle de certains quartiers la nuit.",3
"Les alarmes de sécurité dans les bâtiments publics ne fonctionnent pas correctement.",3
"Les projets de rénovation des routes sont abandonnés sans explication.",4
"Les infrastructures sportives sont laissées à l'abandon dans les quartiers pauvres.",4
"Les files d'attente dans les bureaux de poste sont interminables.",5
"Les citoyens ne reçoivent pas d'aides sociales à temps.",5
"Les zones protégées sont envahies par des projets de construction illégaux.",6
"Les rivières sont remplies de déchets toxiques provenant des usines.",6
"Les jeunes ne trouvent pas d'emplois après avoir terminé leurs études.",7
"Les programmes de formation professionnelle sont inadaptés aux besoins du marché.",7
"Les nouvelles constructions sont hors de prix même pour les classes moyennes.",8
"Les immeubles ne respectent pas les normes de sécurité anti-incendie.",8
"Les prisons sont surpeuplées et les conditions de détention sont inhumaines.",9
"Les victimes de violences domestiques ne reçoivent pas de soutien juridique suffisant.",9
"Les responsables municipaux sont impliqués dans des affaires de pots-de-vin.",10
"Les élus locaux détournent les budgets alloués à l'éducation.",10
"Les patients attendent des semaines pour obtenir des rendez-vous médicaux spécialisés.",1
"Les centres de santé sont à court de fournitures médicales de base comme les gants et les masques.",1
"Les élèves du primaire n'ont pas de matériel de base comme des cahiers et des stylos.",2
"Les bâtiments scolaires sont vétustes et risquent de s'effondrer.",2
"Les quartiers périphériques sont en proie à des cambriolages réguliers.",3
"Les agents de police ne font pas assez de rondes dans les zones à risque.",3
"Les lignes de bus sont mal desservies créant des difficultés de transport.",4
"Les infrastructures d'approvisionnement en électricité sont défectueuses dans certaines zones.",4
"Les coupures d'eau prolongées perturbent le quotidien des habitants.",5
"Les bureaux administratifs sont souvent fermés sans préavis retardant les services.",5
"Les parcs naturels sont détruits pour laisser place à des projets immobiliers.",6
"Le réchauffement climatique provoque des phénomènes météorologiques extrêmes dans la région.",6
"Les entreprises locales licencient en masse en raison de la crise économique.",7
"Les femmes sont particulièrement touchées par le manque d'opportunités d'emploi.",7
"Les conditions de vie dans les logements sociaux se détériorent rapidement.",8
"Les constructions non autorisées se multiplient sans intervention des autorités.",8
"Les abus de pouvoir dans les tribunaux sont fréquents.",9
"Les enquêtes sur les abus policiers prennent trop de temps à aboutir.",9
"Les responsables publics font face à des accusations de népotisme.",10
"Les hauts fonctionnaires impliqués dans la corruption ne sont pas sanctionnés.",10
"Les patients doivent acheter leurs propres médicaments malgré leur présence en stock à l'hôpital.",1
"Les centres de vaccination sont souvent fermés sans explication causant des retards.",1
"Les enseignants ne sont pas formés aux nouvelles technologies limitant l'apprentissage.",2
"Les écoles manquent de toilettes fonctionnelles ce qui pose des problèmes d'hygiène.",2
"Les habitants se plaignent du manque de sécurité autour des écoles le soir.",3
"Les policiers ne sont pas assez visibles dans les quartiers résidentiels.",3
"Les travaux de rénovation des routes sont mal planifiés et provoquent des embouteillages.",4
"Les feux de signalisation ne fonctionnent plus rendant la circulation chaotique.",4
"Les services d'eau sont coupés sans préavis causant de graves désagréments.",5
"Le bureau des impôts est surchargé avec des files d'attente interminables.",5
"Les plages sont couvertes de déchets et les autorités locales ne font rien pour les nettoyer.",6
"Le ramassage des ordures est irrégulier causant des accumulations dans les rues.",6
"Les travailleurs temporaires sont souvent mal payés et n'ont pas de sécurité sociale.",7
"Les jeunes diplômés ne trouvent pas de travail en rapport avec leurs études.",7
"Les familles doivent se battre pour obtenir un logement social les listes d'attente sont trop longues.",8
"Les prix des loyers ont explosé rendant le logement inaccessible pour les bas revenus.",8
"Les victimes de vols ne reçoivent pas de soutien adéquat des autorités judiciaires.",9
"Les droits des enfants ne sont pas bien protégés dans les procédures judiciaires.",9
"Les fonds alloués aux projets de développement local sont détournés par les responsables.",10
"Les élections locales sont entachées par des accusations de fraude et de manipulation.",10
"Les services d'urgence manquent de personnel causant des retards dangereux dans les interventions.",1
"Les hôpitaux de campagne sont mal équipés pour faire face aux crises sanitaires.",1
"Les bâtiments scolaires ne respectent pas les normes de sécurité mettant en danger les élèves.",2
"Le taux d'échec scolaire augmente à cause du manque de professeurs qualifiés.",2
"Les quartiers éloignés n'ont pas de poste de police à proximité rendant l'accès à la sécurité difficile.",3
"Les policiers demandent des pots-de-vin pour traiter certains dossiers.",3
"Les routes non asphaltées deviennent impraticables pendant la saison des pluies.",4
"Les équipements publics comme les bancs et les lampadaires sont en mauvais état.",4
"Les interruptions de courant sont fréquentes et prolongées affectant les entreprises.",5
"Les services postaux prennent des mois pour délivrer les colis.",5
"Les espaces verts sont rares en ville avec peu d'initiatives pour les protéger.",6
"La pollution sonore due à la circulation est devenue un problème majeur.",6
